운영장소,운영 프로그램,대상,일시,내용
산내종합사회복지관,"행복한 삶, 행복한 마무리 웰다잉 교육",지역 내 60세 이상 어르신,3월~12월,지역 어르신들의 안정된 노후 지원을 위한 웰다잉 교육 서비스를 지원합니다.
산내종합사회복지관,,,,
산내종합사회복지관,산내경로무료급식소,어르신,월~금 (11:30~13:00),지역 내 어르신 중식 지원 및 정기 상담을 진행합니다.
산내종합사회복지관,경로당 충전프로그램,"산내동, 효동 경로당 어르신",3월~10월,지역 내 경로당을 거점으로 다양한 여가·문화 프로그램을 제공합니다.
산내종합사회복지관,산내동네영웅사랑,어르신,3월~10월,산내동에 거주하는 국가유공자에게 감사한 마음을 가지고 국가유공자 정서지원프로그램을 진행합니다.
산내종합사회복지관,경제적지원사업,경제적 어려움으로 인한 경제적 지원 서비스가 필요한 지역 주민,연중 수시 진행,지역 내 경제적인 어려움을 겪고 있는 가정에게 후원물품을 지원하고 지역 내 주민들과 관계 형성을 가져 취약계층 세대가 지원을 통해 일상생활의 부족한 자원을 충족하고 삶의 질 향상을 도모합니다.
산내종합사회복지관,산내동그라미빨래방,"저소득층, 장애, 어르신 세대 가정",월~금 (9:00~18:00),지역 내 보호가 필요한 주민의 기본적 욕구 충족 및 위생적인 거주 환경 조성을 위한 대형 빨래 서비스를 지원합니다.
산내종합사회복지관,산내주민재능봉사단 모집,지역주민,2월~10월,재능기부를 통해 배움을 나누고 그 안에서 자연스럽게 관계를 형성합니다.
산내종합사회복지관,이웃나눔프로그램,지역주민,"설, 추석 또는 기념일","내가 살고있는 지역 내에서 나의 이웃의 안부를 확인하고, 관계를 형성할 수 있도록 주민이 직접 참여하여 이웃나눔 프로그램을 진행합니다."
산내종합사회복지관,주민주도형 축제,지역주민,3월~11월,지역주민이 마을 기획단이 되어 직접 축제를 기획하고 구상하여 축제 진행까지 함께합니다.
대전기독교종합사회복지관,따뜻한 도시락 배달 사업,"거동이 불편한 60세 이상 어르신
실질적 부양가족이 없는 어르신
경제적 어려움을 겪고 있는 어르신",1월~12월 (주 5회),따뜻한 도시락 배달 사업을 통해 경제적으로 어려움을 겪고 있는 어르신들에게 균형잡힌 식사를 제공하여 신체적·정서적 안정을 지원합니다.
대전기독교종합사회복지관,고혈압 및 당뇨 자조모임,지역 내 60세 이상 어르신,3월~12월,외부기관과 연계하여 만성질환으로 어려움을 겪는 지역 주민들이 건강 회복을 위해 주민들과 함께 노력할 수 있도록 교육 및 자조모임 지원합니다.
대전기독교종합사회복지관,기억상실예방프로그램,지역 내 60세 이상 어르신,3월~12월,"지역 내 어르신들의 치매예방 및 기억력 증진을 위한 교육, 모임 서비스를 지원합니다."
대전기독교종합사회복지관,민관협력 및 지역사회통합돌봄,지역주민,3월~11월,"지역주민이 마을의 주체로서 지역의 발전을 위해 중추적인 역할을 수행 할 수 있게하고, 산내지역의 소외계층과 복지사각지대 세대를 발굴하여 균형적인 복지 향상을 위해 노력합니다."
대전기독교종합사회복지관,생활복지운동,지역주민,기념일,지역주민을 만나 긍정적 변화를 이끌어냅니다
성락종합사회복지관,마음이 꽃피는 교실,지역 내 61세 이상 어르신,3월~12월,"지역 내 어르신들의 정서 건강 증진을 위한 인문학, 공예, 미술치료 등 지원합니다."
성락종합사회복지관,장수사진 촬영,65세 이상 어르신,9월~11월 중,65세 이상 어르신을 대상으로 장수사진 촬영을 실시하여 어르신의 무병장수를 기원하고자 합니다.
성락종합사회복지관,사례관리사업,신체 정서적 건강에 어려움이 있는 60세 이상 취약계층 어르신,3월~12월,복합적 어려움(욕구) 해결을 위해 도움이 필요한 지역 내 위기가정을 돕기 위한 상담 및 서비스 연계 등을 지원합니다.
성락종합사회복지관,사랑의 반찬,지역주민,"매주 목(10:00~13:00), 금(13:00~16:00)",조리 활동을 회망하는 지역주민이 모여 요리활동 및 반찬 나눔으로 건강한 식문화 형성 및 안전한 사회관계망을 확대합니다.
